"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"44369","US-Mexico Border","December 31, 2017","2017","Dec","48","","48","","","","","Mixed","Webb County, Texas, USA","Webb County Office of the Medical Examiner","27.817448700000, -99.012892600000","Central America to US","","Northern America","5"
"44370","US-Mexico Border","December 31, 2017","2017","Dec","3","","3","","","","","Mixed","Zapata County, Texas, USA","Webb County Office of the Medical Examiner","26.973076300000, -99.101349800000","Central America to US","","Northern America","5"
"44371","US-Mexico Border","December 31, 2017","2017","Dec","2","","2","","","","","Mixed","Jim Hogg County, Texas, USA","Webb County Office of the Medical Examiner","26.995506000000, -98.748116700000","Central America to US","","Northern America","5"
"44372","US-Mexico Border","December 31, 2017","2017","Dec","1","","1","","","","","Unknown","Val Verde County, Texas, USA","Webb County Office of the Medical Examiner","29.868768200000, -101.161735600000","Central America to US","","Northern America","5"
"44373","US-Mexico Border","December 31, 2017","2017","Dec","2","","2","","","","","Mixed","La Salle County, Texas, USA","Webb County Office of the Medical Examiner","28.275892100000, -99.101349800000","Central America to US","","Northern America","5"
"44374","US-Mexico Border","December 31, 2017","2017","Dec","4","","4","","","","","Mixed","Dimmit County, Texas","Webb County Office of the Medical Examiner","28.411651400000, -99.812493500000","Central America to US","","Northern America","5"
"44391","US-Mexico Border","December 31, 2017","2017","Dec","2","","2","","","","","Mixed","Brooks County, Texas, USA","South Texas Human Rights Center, Webb County Office of the Medical Examiner","27.027305700000, -98.221297900000","Central America to US","","Northern America","5"
"44392","US-Mexico Border","December 31, 2017","2017","Dec","1","","1","","","","","Vehicle Accident","El Paso County, Texas, USA","El Paso Sector Border Patrol","31.803982400000, -106.205148400000","Central America to US","","Northern America","5"
"44393","US-Mexico Border","December 31, 2017","2017","Dec","4","","4","","","4","","Mixed","San Diego County, California","San Diego County Office of Vital Records","32.715730500000, -117.161096600000","Central America to US","","Northern America","5"
"44598","Central America","December 31, 2017","2017","Dec","1","","1","","","1","","Hit by train","Residencial Las Plazas, Aguascalientes, Mexico","Bi Noticias","21.946168509389, -102.283320936520","Central America to US","http://bit.ly/2FnG44r","Central America","1"
